,term_1_umls_name,term_2_umls_name,sentence,term_1_umls_synonyms,term_2_umls_synonyms,pipeline,relation,evidence_count,Treat/Cause_str,is_correct,
483,dabigatran etexilate,"thromboembolism, venous","Dabigatran etexilate is a selective, specific, reversible direct thrombin inhibitor that has been approved in United States, European countries and in India for SPAF and primary venous thromboembolism prevention and treatment.","dabigatran etexilate;dabigatran etexilate (substance);etexilate, dabigatran;ethyl 3-(((2-(((4- ((((hexyloxy)carbonyl)amino)iminomethyl)phenyl)amino)methyl)-1-methyl-1h-benzimidazol-5-yl)carbonyl)(pyridin-2- yl)amino)propanoate","thromboembolism, venous;venous thromboembolism",chemdis,treat,1,treat,1,
484,dag,hypertrophic,"We previously reported that the anti-hypertrophic effect of the dietary polyunsaturated fatty acid, conjugated linoleic acid (CLA), was associated with the upregulation of diacylglycerol (DAG)",dag,hypertrophic,chemdis,treat,1,treat,1,
485,"derivative, stilbene",hypertrophic,"These data suggest that the anti-hypertrophic actions of resveratrol (and other stilbenoids?) do not extend to the SHHF rat, which models heart failure superimposed on hypertension.","derivative, stilbene;derivatives, stilbene;stilbene;stilbene derivative;stilbene derivatives;stilbenes;stilbenoids",hypertrophic,chemdis,treat,1,treat,,
486,des,neointimal hyperplasia,DES (sirolimus and paclitaxel) prevent restenosis by inhibiting neointimal hyperplasia.,des,neointimal hyperplasia,chemdis,treat,1,treat,1,
487,des,restenosis,DES (sirolimus and paclitaxel) prevent restenosis by inhibiting neointimal hyperplasia.,des,"restenosis;restenosis (morphologic abnormality);restenosis, nos",chemdis,treat,1,treat,1,
488,dha,3-00 cardiovascular disorders: general terms,"Recommendations to consume fish for prevention of cardiovascular disease (CVD), along with the U.S. Food and Drug Administration-approved generally recognized as safe (GRAS) status for long chain omega-3 fatty acids, may have had the unanticipated consequence of encouraging long-chain omega-3 (ω-3) fatty acid [(eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA)] supplementation and fortification practices.___There is considerable evidence that EPA and DHA are protective against cardiovascular disease (heart disease and stroke), particularly in individuals with pre-existing disease.",dha,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",chemdis,treat,2,treat,1,
489,dha,coronary heart disease,"Multiple trials over the past two decades testing omega-3 polyunsaturated fatty acids (PUFAs), containing eicosapentaenoic acid (EPA) and or docosahexaenoic acid (DHA), have shown substantial benefits for reducing major coronary heart disease (CHD) events, all-cause mortality, cardiovascular (CV) death, sudden cardiac death (SCD), and stroke.",dha,coronary heart disease,chemdis,treat,1,treat,1,
490,dha,degenerative disease,"The role at omega-3 polyunsaturated fatty acids (PUFA), especially eicosa pentanoic acid (EPA) and decosahexaconic (DHA), has been associated with the prevention of degenerative disease.",dha,degenerative disease;degenerative disorder;degenerative disorder (diagnosis);degenerative disorder (disorder);degenerative disorders,chemdis,treat,1,treat,1,
491,dha,heart failure,"Intake of fish oil containing docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA) prevents heart failure; however, the mechanisms are unclear.",dha,heart failure,chemdis,treat,1,treat,1,
492,dha,ischaemia,"Eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), the (n-3) PUFA found in fish oils, exert antiarrhythmic effects during ischemia.",dha,"ischaemia;ischaemia nos;ischaemia, nos;ischemia;ischemia (diagnosis);ischemia (disorder);ischemia nos;ischemia, nos;ischemias",chemdis,treat,1,treat,1,
493,dha,myocardial infarction,"The most compelling evidence for CV benefits of omega-3 PUFA comes from 4 controlled trials of nearly 40,000 participants randomized to receive eicosapentaenoic acid (EPA) with or without docosahexaenoic acid (DHA) in studies of patients in primary prevention, after myocardial infarction, and most recently, with heart failure (HF).",dha,myocardial infarction,chemdis,treat,1,treat,1,
494,dha,obesity,"Omega-3 fatty acids, specifically EPA and DHA, have shown promising preliminary results in animal and human studies in the prevention and treatment of obesity.",dha,obesity,chemdis,treat,1,treat,1,
495,edoxaban,embolic,"The factor Xa inhibitor edoxaban (Lixiana(®)) is a new direct oral anticoagulant recently approved in the EU for the prevention of stroke and systemic embolic events (SEE) in patients with nonvalvular atrial fibrillation and one or more risk factors.___Current guidelines recommend that the vitamin K antagonist warfarin or direct oral anticoagulants (DOACs), such as the approved direct thrombin inhibitor dabigatran and the approved direct factor Xa inhibitors apixaban, rivaroxaban, and edoxaban, should be used for thromboprophylaxis in patients with nonvalvular AF at risk for stroke or systemic embolic events (SEE).","edoxaban;edoxaban (product);edoxaban (substance);edoxaban product;edoxaban-containing product;ethanediamide, n1-(5-chloro-2-pyridinyl)-n2-((1s,2r,4s)-4- ((dimethylamino)carbonyl)- 2-(((4,5,6,7-tetrahydro-5-methylthiazolo(5,4-c)pyridin-2-yl)carbonyl)amino)cyclohexyl)-;n-(5-chloropyridin-2-yl)-n'-((1s,2r,4s)-4-(n,n-dimethylcarbamoyl)-2-(5-methyl-4,5,6,7- tetrahydro(1,3)thiazolo(5,4-c)pyridine-2-carboxamido)cyclohexyl)oxamide;n-(5-chloropyridin-2-yl)-n'-[(1s,2r,4s)-4-(n,n-dimethylcarbamoyl)-2-(5-methyl-4,5,6,7- tetrahydro[1,3]thiazolo[5,4-c]pyridine-2-carboxamido)cyclohexyl]oxamide;product containing edoxaban;product containing edoxaban (medicinal product)",embolic;embolism (diagnosis);embolism (disorder);embolism -post abortion;embolism nos;embolism/embolus;embolisms,chemdis,treat,2,treat,1,
496,edoxaban,stroke,"The factor Xa inhibitor edoxaban (Lixiana(®)) is a new direct oral anticoagulant recently approved in the EU for the prevention of stroke and systemic embolic events (SEE) in patients with nonvalvular atrial fibrillation and one or more risk factors.___The latter class includes edoxaban, which has recently been approved for stroke prevention in AF by the United States Food and Drug Administration and the European Medicine Agency.","edoxaban;edoxaban (product);edoxaban (substance);edoxaban product;edoxaban-containing product;ethanediamide, n1-(5-chloro-2-pyridinyl)-n2-((1s,2r,4s)-4- ((dimethylamino)carbonyl)- 2-(((4,5,6,7-tetrahydro-5-methylthiazolo(5,4-c)pyridin-2-yl)carbonyl)amino)cyclohexyl)-;n-(5-chloropyridin-2-yl)-n'-((1s,2r,4s)-4-(n,n-dimethylcarbamoyl)-2-(5-methyl-4,5,6,7- tetrahydro(1,3)thiazolo(5,4-c)pyridine-2-carboxamido)cyclohexyl)oxamide;n-(5-chloropyridin-2-yl)-n'-[(1s,2r,4s)-4-(n,n-dimethylcarbamoyl)-2-(5-methyl-4,5,6,7- tetrahydro[1,3]thiazolo[5,4-c]pyridine-2-carboxamido)cyclohexyl]oxamide;product containing edoxaban;product containing edoxaban (medicinal product)",stroke,chemdis,treat,2,treat,1,
497,endogenous nitrate vasodilator,angiopathy,"In conclusion, the vasoprotective effects of IPA/NO were maintained in hypercholesterolemia and, thus, HNO donors may represent future novel treatments for vascular diseases.","endogenous nitrate vasodilator;endothelial cell derived relaxing factor;endothelium-derived nitric oxide;mononitrogen monoxide;monoxide, mononitrogen;monoxide, nitrogen;monoxyde d'azote;monóxido de nitrógeno;nitrate vasodilator, endogenous;nitric oxide;nitric oxide (medication);nitric oxide (product);nitric oxide (substance);nitric oxide gas;nitric oxide product;nitric oxide, endothelium derived;nitric oxide, endothelium-derived;nitric oxide-containing product;nitric oxides;nitrogen monooxide;nitrogen monoxide;nitrogen oxide (no);nitrosyl;no;no - nitric oxide;oxide, nitric;oxyde azotique;oxyde nitrique;product containing nitric oxide;product containing nitric oxide (medicinal product);stickstoff(ii)-oxid;stickstoffmonoxid;vasodilator, endogenous nitrate;vasodilators pulmonary nitric oxide;óxido de nitrógeno(ii);óxido nítrico","angiopathy;angiopathy, nos;blood vessel disease;blood vessel disorder;blood vessels; disorder;blood-vessels--diseases;disease (or disorder); blood vessels;disease (or disorder); vascular;disease, vascular;diseases, vascular;disorder of blood vessel;disorder of blood vessel (disorder);disorder vascular;disorder; vascular;section 3-8 vascular diseases;unspecified vascular problem;vasc;vascular (extracardiac) disorders;vascular dis;vascular disease;vascular disease (disorder);vascular disease or syndrome;vascular disease, nos;vascular diseases;vascular diseases and syndromes;vascular disorder;vascular disorder nos;vascular disorder, nos;vascular disorders;vascular problem;vascular problem, nos;vascular system disorders;vascular system disorders (diagnosis);vascular; disorder;vascular_nos;vascular_nos problem;vasculopathy",chemdis,treat,1,treat,,
504,enoxaparin,"thromboembolism, venous","Dabigatran etexilate has demonstrated superiority and noninferiority to enoxaparin as prophylaxis for venous thromboembolism in patients undergoing orthopedic surgery, with the most frequent adverse effects being gastrointestinal complaints.",enoxaparin;enoxaparin (medication);enoxaparin (product);enoxaparin (substance);enoxaparin product;enoxaparin-containing product;enoxaparine;product containing enoxaparin;product containing enoxaparin (medicinal product),"thromboembolism, venous;venous thromboembolism",chemdis,treat,1,treat,1,
505,epa,3-00 cardiovascular disorders: general terms,"Recommendations to consume fish for prevention of cardiovascular disease (CVD), along with the U.S. Food and Drug Administration-approved generally recognized as safe (GRAS) status for long chain omega-3 fatty acids, may have had the unanticipated consequence of encouraging long-chain omega-3 (ω-3) fatty acid [(eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA)] supplementation and fortification practices.___There is considerable evidence that EPA and DHA are protective against cardiovascular disease (heart disease and stroke), particularly in individuals with pre-existing disease.",epa,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",chemdis,treat,2,treat,1,
506,epa,coronary heart disease,"Multiple trials over the past two decades testing omega-3 polyunsaturated fatty acids (PUFAs), containing eicosapentaenoic acid (EPA) and or docosahexaenoic acid (DHA), have shown substantial benefits for reducing major coronary heart disease (CHD) events, all-cause mortality, cardiovascular (CV) death, sudden cardiac death (SCD), and stroke.",epa,coronary heart disease,chemdis,treat,1,treat,1,
507,epa,degenerative disease,"The role at omega-3 polyunsaturated fatty acids (PUFA), especially eicosa pentanoic acid (EPA) and decosahexaconic (DHA), has been associated with the prevention of degenerative disease.",epa,degenerative disease;degenerative disorder;degenerative disorder (diagnosis);degenerative disorder (disorder);degenerative disorders,chemdis,treat,1,treat,1,
508,epa,heart failure,"Intake of fish oil containing docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA) prevents heart failure; however, the mechanisms are unclear.",epa,heart failure,chemdis,treat,1,treat,,
510,epa,myocardial infarction,"The most compelling evidence for CV benefits of omega-3 PUFA comes from 4 controlled trials of nearly 40,000 participants randomized to receive eicosapentaenoic acid (EPA) with or without docosahexaenoic acid (DHA) in studies of patients in primary prevention, after myocardial infarction, and most recently, with heart failure (HF).",epa,myocardial infarction,chemdis,treat,1,treat,1,
511,epa,obesity,"Omega-3 fatty acids, specifically EPA and DHA, have shown promising preliminary results in animal and human studies in the prevention and treatment of obesity.",epa,obesity,chemdis,treat,1,treat,1,
512,ester,angina,"Because L-carnitine and its esters help reduce oxidative stress, they have been proposed as a treatment for many conditions, i.e. heart failure, angina and weight loss.","ester;ester (substance);ester, nos;esters;organic ester",angina,chemdis,treat,1,treat,1,
513,ester,heart failure,"Because L-carnitine and its esters help reduce oxidative stress, they have been proposed as a treatment for many conditions, i.e. heart failure, angina and weight loss.","ester;ester (substance);ester, nos;esters;organic ester",heart failure,chemdis,treat,1,treat,1,
514,ester,weight loss,"Because L-carnitine and its esters help reduce oxidative stress, they have been proposed as a treatment for many conditions, i.e. heart failure, angina and weight loss.","ester;ester (substance);ester, nos;esters;organic ester",weight loss,chemdis,treat,1,treat,1,
515,estrogen,3-10 heart diseases: general terms,"Phyto-estrogens are plant-derived compounds that can exert various estrogenic and anti-estrogenic effects, and are usually used as a natural alternative to estrogen replacement due to their health benefits, including a lowered risk of osteoporosis, heart disease, breast cancer, and menopausal symptoms.___Soy protein, a good source of isoflavones that are known to bind estrogen receptors, has also been promoted as a dietary means for reducing the risk of heart disease.",estrogen,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",chemdis,treat,2,treat,,
516,estrogen,breast cancer,"Phyto-estrogens are plant-derived compounds that can exert various estrogenic and anti-estrogenic effects, and are usually used as a natural alternative to estrogen replacement due to their health benefits, including a lowered risk of osteoporosis, heart disease, breast cancer, and menopausal symptoms.",estrogen,breast cancer,chemdis,treat,1,treat,1,
520,estrogens,3-10 heart diseases: general terms,"Thus, it has been suggested that estrogens convey the protective effect for the female sex against heart disease.",estrogens,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",chemdis,treat,1,treat,1,
521,estrogens,coronary heart disease,Results of recent clinical trials indicate that mammalian estrogens may be less effective in reducing coronary heart disease risk than once thought.,estrogens,coronary heart disease,chemdis,treat,1,treat,,
524,ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate,a fib,"Direct thrombin inhibitors, such as ximelagatran, may be as effective as warfarin for stroke-risk reduction in patients with AF.","ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate;glycine, n-((1)1-cyclohexyl-2-((2)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;glycine, n-((1r)1-cyclohexyl-2-((2s)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;xi-melagatran;ximelagatran;ximelagatran (substance);ximelagatranum;ximelagatrán;ximelagratan;ximelagratan (substance);ximélagatran","a fib;af;af - atrial fibrillation;afib;atrial fibrillation (af);atrial fibrillation (diagnosis);atrial fibrillation (disorder);atrial fibrillations;atrium; fibrillation;auricular fibrillation;auricular fibrillations;auricular; fibrillation;fibrillation - atrial;fibrillation atrial;fibrillation, atrial;fibrillation, auricular;fibrillation; atrial or auricular;fibrillation;atrial;fibrillations, atrial;fibrillations, auricular;quivering upper heart chambers resulting in irregular heartbeat",chemdis,treat,1,treat,1,
525,ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate,accident - cerebrovascular,"The SPORTIF III and V trials have shown that ximelagatran is not inferior to warfarin in the prevention of strokes in patients with NRAF (both persistent and paroxysmal), but a side effect--consisting in the significant elevation of liver enzymes (> 3 times the upper limit of normal) in 6% of patients--was found.","ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate;glycine, n-((1)1-cyclohexyl-2-((2)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;glycine, n-((1r)1-cyclohexyl-2-((2s)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;xi-melagatran;ximelagatran;ximelagatran (substance);ximelagatranum;ximelagatrán;ximelagratan;ximelagratan (substance);ximélagatran","accident - cerebrovascular;accident cerebrovascular;accident; cerebral;accident; cerebrovascular;apoplexy;apoplexy, cerebral;apoplexy, cerebrovascular;apoplexy, nos;apoplexy; cerebral;apoplexy; stroke;brain attack;brain vascular accident;brain vascular accidents;cerebral apoplexy;cerebral apoplexy, nos;cerebral stroke;cerebral strokes;cerebral vascular accident;cerebral vascular events;cerebral; accident;cerebral; apoplexy;cerebrovascular accident;cerebrovascular accident (disorder);cerebrovascular accident (disorder) [ambiguous];cerebrovascular accident nos;cerebrovascular accident, nos;cerebrovascular accidents;cerebrovascular apoplexy;cerebrovascular stroke;cerebrovascular strokes;cerebrovascular; accident;cva (cerebral vascular accident);cva (cerebrovascular accident);cva - cerebrovascular accident;cva - cerebrovascular accident (& unspecified [& stroke]);cva - cerebrovascular accident (& unspecified [& stroke]) (disorder);cva - cerebrovascular accident unspecified;cva nos;cva unspecified;cva, nos;cvas (cerebrovascular accident);stroke (cerebrum);stroke and cerebrovascular accident unspecified;stroke and cerebrovascular accident unspecified (disorder);stroke cerebral;stroke nos;stroke nos (disorder);stroke unspecified;stroke, cerebral;stroke, cerebrovascular;stroke, neurological;stroke, nos;stroke, not specified as haemorrhage or infarction;stroke, not specified as hemorrhage or infarction;stroke/cerebrovasc accident;stroke/cerebrovascular accident;stroke/cva;stroke/cva - undefined;stroke/cva unspecified;stroke; apoplectic;strokes;strokes, cerebral;strokes, cerebrovascular;undetermined stroke;vascular accident, brain;vascular accidents, brain;vascular brain accident;vascular cerebral accident",chemdis,treat,1,treat,1,
526,ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate,blood clot in blood vessel,"Further randomized trials are clearly needed, while current data suggest that ximelagatran will be able to represent a future viable therapeutic option for prevention of thromboembolism in patients with NRAF, offering huge advantages with respect to classic oral anticoagulants.","ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate;glycine, n-((1)1-cyclohexyl-2-((2)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;glycine, n-((1r)1-cyclohexyl-2-((2s)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;xi-melagatran;ximelagatran;ximelagatran (substance);ximelagatranum;ximelagatrán;ximelagratan;ximelagratan (substance);ximélagatran",blood clot in blood vessel;disease thromboembolic;diseases thromboembolic;embolism and thrombosis of unspecified site;embolism; thrombus;events thromboembolic;other venous embolism and thrombosis of unspecified site;thromboembolic disease;thromboembolic disease (diagnosis);thromboembolic disorder;thromboembolic disorder (disorder);thromboembolic events;thromboembolic; disorder;thromboembolism;thromboembolism - lesion;thromboembolism - lesion (disorder);thromboembolism nos;thromboembolisms;thromboembolus;thromboembolus (morphologic abnormality);thrombus; embolism,chemdis,treat,1,treat,1,
527,ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate,embolic,"Data from SPORTIF III show an absolute reduction in stroke and systemic embolic events with ximelagatran compared with warfarin at 21 months (1.6 vs. 2.3% per year, respectively; p = 0.10).","ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate;glycine, n-((1)1-cyclohexyl-2-((2)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;glycine, n-((1r)1-cyclohexyl-2-((2s)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;xi-melagatran;ximelagatran;ximelagatran (substance);ximelagatranum;ximelagatrán;ximelagratan;ximelagratan (substance);ximélagatran",embolic;embolism (diagnosis);embolism (disorder);embolism -post abortion;embolism nos;embolism/embolus;embolisms,chemdis,treat,1,treat,1,
528,ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate,stroke,"In two large randomized trials comparing fixed-dose ximelagatran with warfarin in noninferiority studies, ximelagatran appears to be as effective at preventing stroke and thromboembolic events as warfarin (based on intention-to-treat analysis) and with similar, if not better, long-term risk.___Direct thrombin inhibitors, such as ximelagatran, may be as effective as warfarin for stroke-risk reduction in patients with AF.___Data from SPORTIF III show an absolute reduction in stroke and systemic embolic events with ximelagatran compared with warfarin at 21 months (1.6 vs. 2.3% per year, respectively; p = 0.10).___The results of SPORTIF III and V demonstrate that a fixed oral dose of ximelagatran, without coagulation monitoring, is comparable to dose-adjusted warfarin in preventing stroke and other thromboembolic complications among moderate- to high-risk AF patients and has a lower rate of both major and minor bleeding.___With its positive benefit-risk ratio, ximelagatran may increase the population of eligible patients for anticoagulation with AF and maximize the potential of anticoagulation in the prevention of stroke.","ethyl 2-[[(1r)-1-cyclohexyl-2- [(2s)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate;glycine, n-((1)1-cyclohexyl-2-((2)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;glycine, n-((1r)1-cyclohexyl-2-((2s)-((((4-(amino(hydroxyimino)methyl)phenyl)methyl)amino)carbonyl)-1-azetidinyl)2-oxoethyl)-ethyl ester;xi-melagatran;ximelagatran;ximelagatran (substance);ximelagatranum;ximelagatrán;ximelagratan;ximelagratan (substance);ximélagatran",stroke,chemdis,treat,5,treat,1,
530,fatty acid,52-53 vascular scleroses,"Although baPWV values may not directly indicate arteriosclerosis, the present study suggests that long-term n-3 fatty acid intake is beneficial for the vascular system.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids","52-53 vascular scleroses;arterial sclerosis;arterioscleroses;arteriosclerosis;arteriosclerosis (morphologic abnormality);arteriosclerosis nos;arteriosclerosis, nos;arteriosclerosis/atherosclerosis;arteriosclerotic vasc.dis.nos;arteriosclerotic vascular disease;arteriosclerotic vascular disease (diagnosis);arteriosclerotic vascular disease (disorder);arteriosclerotic vascular disease nos;arteriosclerotic vascular disease nos (disorder);arteriosclerotic vascular disease, nos;arteriovascular disease;vascular scleroses;vascular sclerosis;vascular sclerosis (morphologic abnormality)",chemdis,treat,1,treat,1,
531,fatty acid,[d]septic shock,"This may explain why these fatty acids could be of benefit in the management of conditions such as septicemia and septic shock, Alzheimer's disease, Parkinson's disease, inflammatory bowel diseases, diabetes mellitus, essential hypertension and atherosclerosis.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids","[d]septic shock;[d]septic shock (context-dependent category);[d]septic shock (situation);[d]septicaemic shock;[d]septicemic shock;septic shock;septic shock (diagnosis);septic shock (disorder);septic; shock;septicaemic shock;septicemic shock;shock septic;shock, septic;shock; septic;systemic septic shock",chemdis,treat,1,treat,1,
532,fatty acid,abnormal heart rhythms,The results of this study and the mechanisms by which n-3 fish oil fatty acids prevent fatal cardiac arrhythmias will be the subject of this review.,"fatty acid;fatty acid (substance);fatty acid, nos;fatty acids","abnormal heart rhythms;arrhythmia (cardiac) nos;arrhythmia (finding);arrhythmia (nos);arrhythmia cardiac (nos);arrhythmia nos;arrhythmia, cardiac;arrhythmia, nos;arrhythmias;arrhythmias (heart);arrhythmias, cardiac;arrythmia;cardiac arrhythmia (disorder);cardiac arrhythmia (nos);cardiac arrhythmia nos;cardiac arrhythmia, irregular pulse;cardiac arrhythmia, nos;cardiac arrhythmia, unspecified;cardiac arrhythmias;cardiac dysrhythmia (disorder);cardiac dysrhythmia nos;cardiac dysrhythmia nos (disorder);cardiac dysrhythmia, nos;cardiac dysrhythmia, unspecified;cardiac dysrhythmias nos;cardiac rhythm disorder (diagnosis);cardiac rhythm disturbance;cardiac rhythm disturbances;cardiac rhythm irregular;cardiac rhythm, abnormal;cardiac; dysrhythmia;disorder of heart rhythm;disorder; rhythm, heart;disturbance; rhythm, heart;dysrhythmia;dysrhythmia(s);dysrhythmia, cardiac;dysrhythmia; cardiac;dysrhythmia;cardiac;dysrhythmias;ectopic beats all types;heart arrhythmia;heart arrhythmias;heart rhythm disorders;heart: rhythm;rhythm, heart; abnormal;rhythm; abnormal;rhythm; disorder",chemdis,treat,1,treat,1,
